[Rules.Rule-1].Name;Максимальная децентрализация
[StoryEvents.Event-76].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-76].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-77].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-77].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-77].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-78].Name;Дегтярёв продолжает идти
[StoryEvents.Event-78].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-78].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-79].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-79].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-79].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-80].Name;Дегтярёв снова обнаружен
[StoryEvents.Event-80].Desc-Owner;На нашей территории %0:s локации %1:s замечен сталкер Дегтярёв. Наш гарнизон пропустил его.
[StoryEvents.Event-80].Desc-NonOwner;Ходят слухи, что сталкер Дегтярёв был замечен на территории %0:s локации %1:s.
[StoryEvents.Event-81].Name;Дегтярёв напал на гарнизон территории
[StoryEvents.Event-81].Desc-Owner;Вот черт! Какой-то сталкер развязал бой на территории %0:s локации %1:s! Наши потери:
[StoryEvents.Event-81].Desc-NonOwner;Ходят слухи, что какой-то неизвестный сталкер вступил в бой на территории %0:s локации %1:s.
[StoryEvents.Event-82].Name;Эвакуация
[StoryEvents.Event-82].Desc-Owner;Дегтярёв с группой военных эвакуировался на вертолётах из Припяти!
[StoryEvents.Event-82].Desc-NonOwner;Бойцы сообщают, что Дегтярёв с группой военных эвакуировался на вертолётах из Припяти!
ScenarioName;Последняя Надежда. Зов Припяти
ScenarioDescription;В данном сценарии воспроизводится завершающая часть сюжета оригинальной игры. Сценарий имеет ограничение по количеству ходов. Вам необходимо захватить всю Восточную Припять до того, как Дегтярёв доберется с отрядом Военных на точку эвакуации. Дипломатия между группировками близка к канону.
ScenarioVictoryDescription;Условия победы: захватить все территории на карте и удержать их 1 ход.
ScenarioLoseDescription;Условия поражения: потерять все подконтрольные территории или не выполнить условия победы примерно за 41 ход.
[Groups.monolith.:main].Spy1-Name;Новичок
[Groups.monolith.:main].Spy2-Name;Опытный
[Groups.monolith.:main].Spy3-Name;Ветеран
[Groups.monolith.:main].Spy4-Name;Мастер
[Groups.monolith.:main].Name;Монолит
[Groups.monolith.:main].Description;Монолит – осколки некогда мощнейшей группировки. Главная цель – защита Зоны от какого-либо внешнего вмешательства. Монолит враждебен к любым другим группировкам. После уничтожения О-Сознания имеет массу внутренних проблем.
[Groups.monolith.:main].DiplomacyText-Question-War;Найти и искоренить!
[Groups.monolith.:main].DiplomacyText-Question-Neutral;Монолит повелел нам заключить с вами мир. Вы согласны или как?
[Groups.monolith.:main].DiplomacyText-Question-Alliance;Монолит велел нам стать вашими друзьями.
[Groups.monolith.:main].DiplomacyText-Question-BreakAlliance;Монолит недоволен нашим союзом!
[Groups.monolith.:main].DiplomacyText-RequestMoney-Ask;По воле Великого Монолита мы отправяем вам запрос на денежный перевод для наших братьев в таком вот размере:
[Groups.monolith.:main].DiplomacyText-Ans-0-Down;Обнаружить и искоренить! *Собеседник добавил вас в черный список*
[Groups.monolith.:main].DiplomacyText-Ans-1-Down;Такое Монолит точно не одобрит! *Собеседник удалил вас из друзей*
[Groups.monolith.:main].DiplomacyText-Ans-1-No;Ты познаешь гнев Монолита! *Собеседник вышел из чата*
[Groups.monolith.:main].DiplomacyText-Ans-1-Yes;И придет день, и Монолит вновь воссияет во славе своей! *Собеседник вышел из чата*
[Groups.monolith.:main].DiplomacyText-Ans-2-No;Монолит точно не даст согласия своего. *Собеседник вышел из чата*
[Groups.monolith.:main].DiplomacyText-Ans-2-Yes;Никому не верь кроме Монолита и братьев его, никому. *Собеседник добавил вас в друзья*
[Groups.monolith.:main].DiplomacyText-RequestMoney-Ans-No;Монолит сказал не проявлять милосердие к неверным! *Собеседник исключил вас из чата*
[Groups.monolith.:main].DiplomacyText-RequestMoney-Ans-Yes;Монолит велел проявить жалость к слепцам и сделать вам денежный перевод.
[Groups.monolith.:main].DiplomacyText-Question-Neutral-No;Тогда мы вас найдем и уничтожим!
[Groups.monolith.:main].DiplomacyText-Question-Neutral-Yes;Иначе и не могло быть. Всё по воле Великого Монолита!
[Groups.monolith.:main].DiplomacyText-Question-Alliance-No;Зря вы не следуете воле Монолита.
[Groups.monolith.:main].DiplomacyText-Question-Alliance-Yes;Да возрадуются братья наши и ужаснутся наши враги!
[Groups.monolith.:main].Text-End-Step-Victory;Вы выжили! Победа!
[Groups.monolith.:main].Text-End-EventFlag-Victory;Победа по ивент флагу!
[Groups.monolith.:main].Text-End-Standart-Lose;Группировка была полностью уничтожена на локации, теперь Припять буду делить другие группировки. Поражение!
[Groups.monolith.:main].Text-End-Step-Lose;Время истекло, Вы не смогли добиться контроля над Припятью. Поражение!
[Groups.monolith.:main].Text-End-EventFlag-Lose;Время истекло, Вы не смогли добиться контроля над Припятью. Поражение!
[Groups.monolith.Anarchy].Text-End-Standart-Victory;Победа! Монолитовцы надежно контролируют Восточную Припять. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере… Грядет новая «Война в Зоне»…
[Groups.monolith.AntiZone].Text-End-Standart-Victory;Победа! Монолитовцы надежно контролируют Восточную Припять. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере… Грядет новая «Война в Зоне»…
[Groups.monolith.Control].Text-End-Standart-Victory;Победа! Монолитовцы надежно контролируют Восточную Припять. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере… Грядет новая «Война в Зоне»…
[Groups.monolith.Crime].Text-End-Standart-Victory;Победа! Монолитовцы надежно контролируют Восточную Припять. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере… Грядет новая «Война в Зоне»…
[Groups.monolith.Exploring].Text-End-Standart-Victory;Победа! Монолитовцы надежно контролируют Восточную Припять. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере… Грядет новая «Война в Зоне»…
[Groups.monolith.Growth].Text-End-Standart-Victory;Победа! Монолитовцы надежно контролируют Восточную Припять. Ни один из отрядов сталкеров, которые отправились на разведку, так обратно и не вернулись. Связь с ними была потерена еще на подходах к Восточной Припяти. Монолитовцы расстреливают всех, кто пытается проникнуть в этот сектор. Вскоре Восточная Припять стала полностью закрыта для посторонних глаз...
[Groups.monolith.Mercenary].Text-End-Standart-Victory;Победа! Монолитовцы надежно контролируют Восточную Припять. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере… Грядет новая «Война в Зоне»…
[Groups.monolith.Sectarianism].Text-End-Standart-Victory;Победа! Монолитовцы надежно контролируют Восточную Припять. Ни один из отрядов сталкеров, которые отправились на разведку, так обратно и не вернулись. Связь с ними была потерена еще на подходах к Восточной Припяти. Монолитовцы расстреливают всех, кто пытается проникнуть в этот сектор. Вскоре Восточная Припять стала полностью закрыта для посторонних глаз...
[Groups.monolith.Stability].Text-End-Standart-Victory;Победа! Монолитовцы надежно контролируют Восточную Припять. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди на юге Зоны стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере… Грядет новая «Война в Зоне»…
[Groups.monolith.Stalkers].Text-End-Standart-Victory;Победа! Монолитовцы надежно контролируют Восточную Припять. Но так лишь может показаться со стороны. Из-за нехватки мощности пси установок люди стали постепенно приходить в себя. Ко многим из них возвращались воспоминания. Местами назревают столкновения. Проповедники уже докладывают о росте числа сопротивления. Уже целые подразделения отказываются слушаться приказов. Похоже, они собираются освободить товарищей на севере… Грядет новая «Война в Зоне»…
[Groups.monolith.Unknow].Text-End-Standart-Victory;Победа! Монолитовцы надежно контролируют Восточную Припять. Ни один из отрядов сталкеров, которые отправились на разведку, так обратно и не вернулись. Связь с ними была потерена еще на подходах к Восточной Припяти. Монолитовцы расстреливают всех, кто пытается проникнуть в этот сектор. Вскоре Восточная Припять стала полностью закрыта для посторонних глаз...
[Groups.monolith.Zombie].Text-End-Standart-Victory;Победа! Теперь Восточная Припять в безопасности. Вскоре пси-излучение покрыло всю Зону благодаря увеличению числа портативных излучателей. Даже Кордон стал опасен. Правительство хоть и не выпускало мутантов из Зоны, но больше не пыталось вернуть ее...
[Groups.soldiers.:main].Spy1-Name;Новичок
[Groups.soldiers.:main].Spy2-Name;Опытный
[Groups.soldiers.:main].Spy3-Name;Ветеран
[Groups.soldiers.:main].Spy4-Name;Мастер
[Groups.soldiers.:main].Name;Военные
[Groups.soldiers.:main].Description;Военные – государственные силы на территории Зоны. Считают своими врагами всё живое внутри периметра кроме Ученых. Присутствуют только в Припяти и имеют под контролем одну территорию.
[Groups.soldiers.:main].DiplomacyText-Question-War;Ваше нахождение в Зоне теперь считается незаконным. Попадетёсь - расстрел на месте!
[Groups.soldiers.:main].DiplomacyText-Question-Neutral;Командование считает, что нам нужно снизить оперативную активность. Как насчет перемирия?
[Groups.soldiers.:main].DiplomacyText-Question-Alliance;Командование считает, что нам нужен союзник в Зоне для проведения операций. Вы согласны?
[Groups.soldiers.:main].DiplomacyText-Question-BreakAlliance;Мы больше не будем сотрудничать!
[Groups.soldiers.:main].DiplomacyText-RequestMoney-Ask;Правительственным силам требуется финансовое содействие на новый особняк генерал.. Кхм. На... На выполнение особых задач вот в таком размере. Поможите?
[Groups.soldiers.:main].DiplomacyText-Ans-0-Down;Да мы тебя в порошок сотрём!
[Groups.soldiers.:main].DiplomacyText-Ans-1-Down;Это еще как понимать?
[Groups.soldiers.:main].DiplomacyText-Ans-1-No;Нет, мы не можем закрыть глаза на ваше присутствие в Зоне.
[Groups.soldiers.:main].DiplomacyText-Ans-1-Yes;Ладно, мы закроем глаза на ваше присутствие в Зоне...
[Groups.soldiers.:main].DiplomacyText-Ans-2-No;Нет, мы не можем закрыть глаза на ваше присутствие в Зоне.
[Groups.soldiers.:main].DiplomacyText-Ans-2-Yes;Армии нужен союзник в Зоне. Хорошо, мы согласны.
[Groups.soldiers.:main].DiplomacyText-RequestMoney-Ans-No;Нет, мы не оказываем финансовую помощь!
[Groups.soldiers.:main].DiplomacyText-RequestMoney-Ans-Yes;Да, начальство согласилось помочь вам с финансами
[Groups.soldiers.:main].DiplomacyText-Question-Neutral-No;Отказались? Ну.. Это Вы зря!
[Groups.soldiers.:main].DiplomacyText-Question-Neutral-Yes;Отлично, хорошо что Вы согласились!
[Groups.soldiers.:main].DiplomacyText-Question-Alliance-No;Отказались? Ну.. Это Вы зря!
[Groups.soldiers.:main].DiplomacyText-Question-Alliance-Yes;Отлично, хорошо что Вы согласились!
[Groups.soldiers.:main].Text-End-Step-Victory;Вы выжили! Победа!
[Groups.soldiers.:main].Text-End-EventFlag-Victory;Победа по ивент флагу!
[Groups.soldiers.:main].Text-End-Standart-Lose;Группировка была полностью уничтожена на локации, теперь её будут делить другие группировки. Поражение!
[Groups.soldiers.:main].Text-End-Step-Lose;Время истекло, Вы не смогли добиться контроля над локацией. Вы разжалованы. Поражение!
[Groups.soldiers.:main].Text-End-EventFlag-Lose;Время истекло, Вы не смогли добиться контроля над локацией. Вы разжалованы. Поражение!
[Groups.soldiers.Anarchy].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Восточную Припять и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Но часть документации попало странным образом в руки общественности. Оружие, опыты над людьми, причина появления Зоны... Теперь многое из этого стало достояние общественности...
[Groups.soldiers.AntiZone].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Восточную Припять и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной... Новым приоритетом стало уничтожение любых проявлений Зоны. Главная цель – мутанты. Были сформированы специальные группы вооруженные дробовиками и огнемётами для уничтожения любого существа, даже если это были мелкие крысы. Убрать аномальные проявления Зоны – новый приказ правительства, который необходимо выполнить.
[Groups.soldiers.Control].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Восточную Припять и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.soldiers.Control].Text-End-Standart-Lose;Военных в Зоне не осталось... Теперь неизвестно чем всё кончится без правительственных сил. Вы разжалованы за провал! Поражение!
[Groups.soldiers.Crime].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Восточную Припять. Но контингент, который держал под контролем эту Восточную Припять очень быстро стал проявлять совсем не присущие черты военным. Разбой, грабеж и вымогательство. Вскоре генералы потеряли контроль над Восточной Припятью окончательно, так как в Зоне появилась новая криминальная группировка с центральной базой в Восточной Припяти.
[Groups.soldiers.Exploring].Text-End-Standart-Victory;Победа! Правительственные войска смогли взять под контроль всю территорию Восточной Припяти и теперь стремительно наводят порядок. Новым приоритетом стало обеспечение безопасности исследовательских групп. Были сформированы различные мелкие отряды из солдат специального назначения для операций в особо опасных условиях. Так называли подземные комплексы и лаборатории, которых на удивление генералов, оказалось в несколько раз больше, чем предполагалось изначально. Вся добытая информация стремительно засекречивалась и общественность знала о Зоне только, что говорило им правительство.
[Groups.soldiers.Growth].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Восточную Припять и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.soldiers.Growth].Text-End-Standart-Lose;Военных в Зоне не осталось... Теперь неизвестно чем всё кончится без правительственных сил. Вы разжалованы за провал! Поражение!
[Groups.soldiers.Mercenary].Text-End-Standart-Victory;Победа! Правительственные войска смогли взять под контроль всю территорию Восточной Припяти и теперь стремительно наводят порядок. Но среди командиров царила коррупция. Некоторые стали промышлять подозрительными контрактами от частных фирм. Образовались различные мелкие отряды из солдат, которые занимались добычей артефактов и ловлей мутантов для частных «коллекционеров». Служба или деньги? Этим вопросом задавались все без исключений…
[Groups.soldiers.Sectarianism].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Восточную Припять, но командиры на местах всё меньше соблюдали субординацию. Ротация не помогала. СБУ докладывало о неком элементе сектантства среди командиров, но подробнее расследовать не получалось. Командиры умело заметали следы. На столько, что даже О-Сознание так и не было найдено, о котором говорилось в найденных документах…
[Groups.soldiers.Stability].Text-End-Standart-Victory;Победа! Правительственные войска смогли взять под контроль всю территорию Восточной Припяти и теперь стремительно наводят порядок. Были сформированы различные мелкие отряды из солдат специального назначения для операций в особо опасных условиях. Так называли подземные комплексы и лаборатории, которых на удивление генералов, оказалось в несколько раз больше, чем предполагалось изначально. Вся добытая информация стремительно засекречивалась и общественность знала о Зоне только, что говорило им правительство.
[Groups.soldiers.Stalkers].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Восточную Припять. Оно решило не только бороться с Зоной, но и скрытно на ней подзаработать. Были сформированы несколько секретных отрядов военных сталкеров для поиска особо ценных артефактов, которые потом продавались на черном рынке за рубежом для обогащения некоторых из «верхов». Таким образом, впоследствии появились так называемые «артефактные олигархи»…
[Groups.soldiers.Unknow].Text-End-Standart-Victory;Победа! Правительство взяло под контроль Восточную Припять и как только ознакомилось с документами из лабораторий, было принято решение всё сразу же засекретить. Оружие, опыты над людьми, причина появления Зоны... Теперь это навсегда останется тайной...
[Groups.soldiers.Unknow].Text-End-Standart-Lose;Военных в Зоне не осталось... Теперь неизвестно чем всё кончится без правительственных сил. Вы разжалованы за провал! Поражение!
[Groups.soldiers.Zombie].Text-End-Standart-Victory;Победа! Теперь О-Сознание в безопасности. Вскоре пси-излучение покрыло всю Восточную Припять благодаря увеличению числа излучателей. Даже Кордон стал опасен. Правительство хоть и не выпускало мутантов из Зоны, но больше не пыталось вернуть ее...
