[SpecialEvents.Burst].Name;Emission!
[StoryEvents.Event-Agroprom-8].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Agroprom-8].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-9].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-9].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Agroprom-9].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-10].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Agroprom-10].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Agroprom-10].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-11].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-11].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Agroprom-11].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-12].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Agroprom-12].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Agroprom-12].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-13].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-13].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Agroprom-13].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-14].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Agroprom-14].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Agroprom-14].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-Documents].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-Documents].Desc-Owner;Someone has stolen important documents from our base! Alert!
[StoryEvents.Event-Agroprom-Documents].Desc-NonOwner;Rumors say that the stalker called the Marked One stole some important documents from the Military base on territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-15].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-15].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Agroprom-15].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-16].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Agroprom-16].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Agroprom-16].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-17].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-17].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Agroprom-17].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-18].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Agroprom-18].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Agroprom-18].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-19].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-19].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Agroprom-19].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-20].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Agroprom-20].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Agroprom-20].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-21].Name;The Marked One continues his journey
[StoryEvents.Event-Agroprom-21].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Agroprom-21].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Agroprom-22].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Agroprom-22].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Agroprom-22].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-1].Name;The Marked One continues his journey
[StoryEvents.Event-Dump2-1].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Dump2-1].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-2].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Dump2-2].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump2-2].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-3].Name;The Marked One continues his journey
[StoryEvents.Event-Dump2-3].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Dump2-3].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-4].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Dump2-4].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump2-4].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-5].Name;The Marked One continues his journey
[StoryEvents.Event-Dump2-5].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Dump2-5].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-6].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Dump2-6].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump2-6].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-7].Name;The Marked One continues his journey
[StoryEvents.Event-Dump2-7].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Dump2-7].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-8].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Dump2-8].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump2-8].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-9].Name;The Marked One continues his journey
[StoryEvents.Event-Dump2-9].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Dump2-9].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump2-10].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Dump2-10].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump2-10].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-1].Name;The Marked One continues his journey
[StoryEvents.Event-Rostok-1].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Rostok-1].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-2].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Rostok-2].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Rostok-2].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-3].Name;The Marked One continues his journey
[StoryEvents.Event-Rostok-3].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Rostok-3].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-4].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Rostok-4].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Rostok-4].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-5].Name;The Marked One continues his journey
[StoryEvents.Event-Rostok-5].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Rostok-5].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-6].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Rostok-6].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Rostok-6].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-7].Name;The Marked One continues his journey
[StoryEvents.Event-Rostok-7].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s and met with Barman. Our garrison let him through.
[StoryEvents.Event-Rostok-7].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s and was negotiating with Barman.
[StoryEvents.Event-Rostok-8].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Rostok-8].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Rostok-8].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-9].Name;The Marked One continues his journey
[StoryEvents.Event-Rostok-9].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Rostok-9].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-10].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Rostok-10].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Rostok-10].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-11].Name;The Marked One continues his journey
[StoryEvents.Event-Rostok-11].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Rostok-11].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-12].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Rostok-12].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Rostok-12].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-13].Name;The Marked One continues his journey
[StoryEvents.Event-Rostok-13].Desc-Owner;The stalker called the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him through.
[StoryEvents.Event-Rostok-13].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Rostok-14].Name;The Marked One Attacked the Territory Garrison
[StoryEvents.Event-Rostok-14].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement on territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Rostok-14].Desc-NonOwner;Rumors say that the stalker called the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump3-1].Name;The Marked One continues his journey
[StoryEvents.Event-Dump3-1].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump3-1].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump3-2].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump3-2].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump3-2].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump3-3].Name;The Marked One continues his journey
[StoryEvents.Event-Dump3-3].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump3-3].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump3-4].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump3-4].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump3-4].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump3-5].Name;The Marked One continues his journey
[StoryEvents.Event-Dump3-5].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Dump3-5].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Dump3-6].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Dump3-6].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Dump3-6].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-1].Name;The Marked One continues his journey
[StoryEvents.Event-DarkVallery-1].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-DarkVallery-1].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-2].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-DarkVallery-2].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-DarkVallery-2].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-Advisor-1].Name;Bullet
[StoryEvents.Event-DarkVallery-Advisor-1].Desc-Owner;Bullet is now available as a deputy candidate!
[StoryEvents.Event-DarkVallery-Advisor-1].Desc-NonOwner;If you see this, it's a bug in event Event-DarkVallery-Advisor-1.
[StoryEvents.Event-DarkVallery-3].Name;The Marked One continues his journey
[StoryEvents.Event-DarkVallery-3].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-DarkVallery-3].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-4].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-DarkVallery-4].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-DarkVallery-4].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-5].Name;The Marked One continues his journey
[StoryEvents.Event-DarkVallery-5].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-DarkVallery-5].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-6].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-DarkVallery-6].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-DarkVallery-6].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-7].Name;The Marked One continues his journey
[StoryEvents.Event-DarkVallery-7].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-DarkVallery-7].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-8].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-DarkVallery-8].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-DarkVallery-8].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-9].Name;The Marked One continues his journey
[StoryEvents.Event-DarkVallery-9].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-DarkVallery-9].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-10].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-DarkVallery-10].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-DarkVallery-10].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-SetFlag1-1].Name;Technical Event
[StoryEvents.Event-DarkVallery-SetFlag1-1].Desc-Owner;If you see this, it's a bug in event Event-DarkVallery-SetFlag1-1.
[StoryEvents.Event-DarkVallery-SetFlag1-1].Desc-NonOwner;If you see this, it's a bug in event Event-DarkVallery-SetFlag1-1.
[StoryEvents.Event-DarkVallery-Advisor-2].Name;Shaggy Sergey
[StoryEvents.Event-DarkVallery-Advisor-2].Desc-Owner;Shaggy Sergey is now available as a deputy candidate!
[StoryEvents.Event-DarkVallery-Advisor-2].Desc-NonOwner;If you see this, it's a bug in event Event-DarkVallery-Advisor-2.
[StoryEvents.Event-DarkVallery-SetFlag1-2].Name;Technical Event
[StoryEvents.Event-DarkVallery-SetFlag1-2].Desc-Owner;If you see this, it's a bug in event Event-DarkVallery-SetFlag1-2.
[StoryEvents.Event-DarkVallery-SetFlag1-2].Desc-NonOwner;If you see this, it's a bug in event Event-DarkVallery-SetFlag1-2.
[StoryEvents.Event-DarkVallery-ChangeLeader].Name;Death of Boar
[StoryEvents.Event-DarkVallery-ChangeLeader].Desc-Owner;As a result of the Marked One's attack, the faction leader has been killed. Several «authorities» organized a meeting and decided to temporarily manage the faction through collective decision-making. Despite maintaining faction unity, this has led to a slight decrease in manageability.
[StoryEvents.Event-DarkVallery-ChangeLeader].Desc-NonOwner;As a result of the Marked One's attack, the faction leader has been killed. Several «authorities» organized a meeting and decided to temporarily manage the faction through collective decision-making. Despite maintaining faction unity, this has led to a slight decrease in manageability.
[StoryEvents.Event-DarkVallery-11].Name;The Marked One continues his journey
[StoryEvents.Event-DarkVallery-11].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-DarkVallery-11].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-12].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-DarkVallery-12].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-DarkVallery-12].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-X18-1].Name;The Marked One continues his journey
[StoryEvents.Event-DarkVallery-X18-1].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-DarkVallery-X18-1].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-X18-2].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-DarkVallery-X18-2].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-DarkVallery-X18-2].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-Invasion-1].Name;Military Landing Force
[StoryEvents.Event-DarkVallery-Invasion-1].Desc-Owner;A Military landing force is assaulting territory %0:s at location %1:s!
[StoryEvents.Event-DarkVallery-Invasion-1].Desc-NonOwner;We received intelligence that a Military landing force is assaulting territory %0:s at location %1:s!
[StoryEvents.Event-DarkVallery-Invasion-2].Name;Military Landing Force
[StoryEvents.Event-DarkVallery-Invasion-2].Desc-Owner;A Military landing force is assaulting territory %0:s at location %1:s!
[StoryEvents.Event-DarkVallery-Invasion-2].Desc-NonOwner;We received intelligence that a Military landing force is assaulting territory %0:s at location %1:s!
[StoryEvents.Event-DarkVallery-13].Name;The Marked One continues his journey
[StoryEvents.Event-DarkVallery-13].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-DarkVallery-13].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-14].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-DarkVallery-14].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-DarkVallery-14].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-Invasion-3].Name;Military Landing Force
[StoryEvents.Event-DarkVallery-Invasion-3].Desc-Owner;A Military landing force is assaulting territory %0:s at location %1:s!
[StoryEvents.Event-DarkVallery-Invasion-3].Desc-NonOwner;We received intelligence that a Military landing force is assaulting territory %0:s at location %1:s!
[StoryEvents.Event-DarkVallery-15].Name;The Marked One continues his journey
[StoryEvents.Event-DarkVallery-15].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-DarkVallery-15].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-DarkVallery-16].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-DarkVallery-16].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-DarkVallery-16].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon2-SetFlag1-1].Name;Technical Event
[StoryEvents.Event-Cordon2-SetFlag1-1].Desc-Owner;If you see this, it's a bug in event Event-DarkVallery-SetFlag1-1.
[StoryEvents.Event-Cordon2-SetFlag1-1].Desc-NonOwner;If you see this, it's a bug in event Event-DarkVallery-SetFlag1-1.
[StoryEvents.Event-Cordon2-Invasion-1].Name;Mercenary Squad
[StoryEvents.Event-Cordon2-Invasion-1].Desc-Owner;A Mercenary squad is assaulting territory %0:s at location %1:s!
[StoryEvents.Event-Cordon2-Invasion-1].Desc-NonOwner;We received intelligence that a Mercenary squad is assaulting territory %0:s at location %1:s!
[StoryEvents.Event-Cordon2-SetFlag1-2].Name;Technical Event
[StoryEvents.Event-Cordon2-SetFlag1-2].Desc-Owner;If you see this, it's a bug in event Event-DarkVallery-SetFlag1-2.
[StoryEvents.Event-Cordon2-SetFlag1-2].Desc-NonOwner;If you see this, it's a bug in event Event-DarkVallery-SetFlag1-2.
[StoryEvents.Event-Cordon2-1].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon2-1].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Cordon2-1].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon2-2].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Cordon2-2].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon2-2].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon2-3].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon2-3].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Cordon2-3].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon2-4].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Cordon2-4].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon2-4].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon2-5].Name;The Marked One continues his journey
[StoryEvents.Event-Cordon2-5].Desc-Owner;The stalker known as the Marked One has been spotted in our territory %0:s at location %1:s. Our garrison let him pass.
[StoryEvents.Event-Cordon2-5].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon2-6].Name;The Marked One attacked the territory garrison
[StoryEvents.Event-Cordon2-6].Desc-Owner;Our patrols encountered the stalker known as the Marked One. We lost the engagement in territory %0:s at location %1:s... Our casualties:
[StoryEvents.Event-Cordon2-6].Desc-NonOwner;Rumors say that the stalker known as the Marked One was spotted in territory %0:s at location %1:s.
[StoryEvents.Event-Cordon2-7].Name;The Marked One continues his journey
