[SpecialEvents.Burst].Name;Выброс!
[StoryEvents.Event-DarkVallery-5].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-6].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-DarkVallery-6].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-DarkVallery-6].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-7].Name;Меченый продолжает идти
[StoryEvents.Event-DarkVallery-7].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-DarkVallery-7].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-8].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-DarkVallery-8].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-DarkVallery-8].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-9].Name;Меченый продолжает идти
[StoryEvents.Event-DarkVallery-9].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-DarkVallery-9].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-10].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-DarkVallery-10].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-DarkVallery-10].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-SetFlag1-1].Name;Технический ивент
[StoryEvents.Event-DarkVallery-SetFlag1-1].Desc-Owner;Если вы это видите, то это баг ивента Event-DarkVallery-SetFlag1-1
[StoryEvents.Event-DarkVallery-SetFlag1-1].Desc-NonOwner;Если вы это видите, то это баг ивента Event-DarkVallery-SetFlag1-1
[StoryEvents.Event-DarkVallery-Advisor-2].Name;Сергей Лохматый
[StoryEvents.Event-DarkVallery-Advisor-2].Desc-Owner;Сергей Лохматый теперь доступен как кандидат в заместители!
[StoryEvents.Event-DarkVallery-Advisor-2].Desc-NonOwner;Если вы это видите, то это баг ивента Event-DarkVallery-Advisor-2
[StoryEvents.Event-DarkVallery-SetFlag1-2].Name;Технический ивент
[StoryEvents.Event-DarkVallery-SetFlag1-2].Desc-Owner;Если вы это видите, то это баг ивента Event-DarkVallery-SetFlag1-2
[StoryEvents.Event-DarkVallery-SetFlag1-2].Desc-NonOwner;Если вы это видите, то это баг ивента Event-DarkVallery-SetFlag1-2
[StoryEvents.Event-DarkVallery-ChangeLeader].Name;Смерть Борова
[StoryEvents.Event-DarkVallery-ChangeLeader].Desc-Owner;"В результате нападения Меченого погиб глава группировки. Ряд ""авторитетов"" организовали сходку, на которой решили временно управлять группировкой через коллективные решения. Несмотря на сохранение единства группировки, это привело к некоторому ухудшению ее управляемости."
[StoryEvents.Event-DarkVallery-ChangeLeader].Desc-NonOwner;"В результате нападения Меченого погиб глава группировки. Ряд ""авторитетов"" организовали сходку, на которой решили временно управлять группировкой через коллективные решения. Несмотря на сохранение единства группировки, это привело к некоторому ухудшению ее управляемости."
[StoryEvents.Event-DarkVallery-11].Name;Меченый продолжает идти
[StoryEvents.Event-DarkVallery-11].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-DarkVallery-11].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-12].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-DarkVallery-12].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-DarkVallery-12].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-X18-1].Name;Меченый продолжает идти
[StoryEvents.Event-DarkVallery-X18-1].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-DarkVallery-X18-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-X18-2].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-DarkVallery-X18-2].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-DarkVallery-X18-2].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-Invasion-1].Name;Военный десант
[StoryEvents.Event-DarkVallery-Invasion-1].Desc-Owner;Территорию %0:s локации %1:s штурмует десант Военных!
[StoryEvents.Event-DarkVallery-Invasion-1].Desc-NonOwner;К нам поступила информация, что территорию %0:s локации %1:s штурмует десант Военных!
[StoryEvents.Event-DarkVallery-Invasion-2].Name;Военный десант
[StoryEvents.Event-DarkVallery-Invasion-2].Desc-Owner;Территорию %0:s локации %1:s штурмует десант Военных!
[StoryEvents.Event-DarkVallery-Invasion-2].Desc-NonOwner;К нам поступила информация, что территорию %0:s локации %1:s штурмует десант Военных!
[StoryEvents.Event-DarkVallery-13].Name;Меченый продолжает идти
[StoryEvents.Event-DarkVallery-13].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-DarkVallery-13].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-14].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-DarkVallery-14].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-DarkVallery-14].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-Invasion-3].Name;Военный десант
[StoryEvents.Event-DarkVallery-Invasion-3].Desc-Owner;Территорию %0:s локации %1:s штурмует десант Военных!
[StoryEvents.Event-DarkVallery-Invasion-3].Desc-NonOwner;К нам поступила информация, что территорию %0:s локации %1:s штурмует десант Военных!
[StoryEvents.Event-DarkVallery-15].Name;Меченый продолжает идти
[StoryEvents.Event-DarkVallery-15].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-DarkVallery-15].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-DarkVallery-16].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-DarkVallery-16].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-DarkVallery-16].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-SetFlag1-1].Name;Технический ивент
[StoryEvents.Event-Cordon2-SetFlag1-1].Desc-Owner;Если вы это видите, то это баг ивента Event-DarkVallery-SetFlag1-1
[StoryEvents.Event-Cordon2-SetFlag1-1].Desc-NonOwner;Если вы это видите, то это баг ивента Event-DarkVallery-SetFlag1-1
[StoryEvents.Event-Cordon2-Invasion-1].Name;Группа Наёмников
[StoryEvents.Event-Cordon2-Invasion-1].Desc-Owner;Территорию %0:s локации %1:s штурмует отряд группировки Наёмники!
[StoryEvents.Event-Cordon2-Invasion-1].Desc-NonOwner;К нам поступила информация, что территорию %0:s локации %1:s штурмует отряд группировки Наёмники!
[StoryEvents.Event-Cordon2-SetFlag1-2].Name;Технический ивент
[StoryEvents.Event-Cordon2-SetFlag1-2].Desc-Owner;Если вы это видите, то это баг ивента Event-DarkVallery-SetFlag1-2
[StoryEvents.Event-Cordon2-SetFlag1-2].Desc-NonOwner;Если вы это видите, то это баг ивента Event-DarkVallery-SetFlag1-2
[StoryEvents.Event-Cordon2-1].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon2-1].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon2-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-2].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon2-2].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon2-2].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-3].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon2-3].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon2-3].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-4].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon2-4].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon2-4].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-5].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon2-5].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon2-5].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-6].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon2-6].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon2-6].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-7].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon2-7].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon2-7].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-8].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon2-8].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon2-8].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-9].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon2-9].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon2-9].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-10].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon2-10].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon2-10].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-11].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon2-11].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon2-11].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-12].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon2-12].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon2-12].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-13].Name;Меченый продолжает идти
[StoryEvents.Event-Cordon2-13].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Cordon2-13].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Cordon2-14].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Cordon2-14].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Cordon2-14].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump4-1].Name;Меченый продолжает идти
[StoryEvents.Event-Dump4-1].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump4-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump4-2].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump4-2].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump4-2].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump4-3].Name;Меченый продолжает идти
[StoryEvents.Event-Dump4-3].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump4-3].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump4-4].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump4-4].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump4-4].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump4-5].Name;Меченый продолжает идти
[StoryEvents.Event-Dump4-5].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump4-5].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump4-6].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump4-6].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump4-6].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump4-7].Name;Меченый продолжает идти
[StoryEvents.Event-Dump4-7].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump4-7].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump4-8].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump4-8].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump4-8].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump4-9].Name;Меченый продолжает идти
[StoryEvents.Event-Dump4-9].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump4-9].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump4-10].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump4-10].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump4-10].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump4-11].Name;Меченый продолжает идти
[StoryEvents.Event-Dump4-11].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Dump4-11].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Dump4-12].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Dump4-12].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Dump4-12].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok2-1].Name;Меченый продолжает идти
[StoryEvents.Event-Rostok2-1].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Rostok2-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok2-2].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Rostok2-2].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Rostok2-2].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok2-3].Name;Меченый продолжает идти
[StoryEvents.Event-Rostok2-3].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Rostok2-3].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok2-4].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Rostok2-4].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Rostok2-4].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok2-5].Name;Меченый продолжает идти
[StoryEvents.Event-Rostok2-5].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Rostok2-5].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok2-6].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Rostok2-6].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Rostok2-6].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok2-7].Name;Меченый продолжает идти
[StoryEvents.Event-Rostok2-7].Desc-Owner;На нашей территории %0:s на локации %1:s сталкер Меченый встретился с Барменом. Наш гарнизон пропустил его.
[StoryEvents.Event-Rostok2-7].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s и вел какие-то переговоры с Барменом.
[StoryEvents.Event-Rostok2-8].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Rostok2-8].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Rostok2-8].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok2-9].Name;Меченый продолжает идти
[StoryEvents.Event-Rostok2-9].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Rostok2-9].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok2-10].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Rostok2-10].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Rostok2-10].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok2-11].Name;Меченый продолжает идти
[StoryEvents.Event-Rostok2-11].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-Rostok2-11].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-Rostok2-12].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-Rostok2-12].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-Rostok2-12].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory-1].Name;Меченый продолжает идти
[StoryEvents.Event-WildTerritory-1].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-WildTerritory-1].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory-2].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-WildTerritory-2].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-WildTerritory-2].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory-3].Name;Меченый продолжает идти
[StoryEvents.Event-WildTerritory-3].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-WildTerritory-3].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory-4].Name;Меченый напал на гарнизон территории
[StoryEvents.Event-WildTerritory-4].Desc-Owner;Наши патрули наткнулись на сталкера с прозвищем Меченый. Мы проиграли бой на территории %0:s локации %1:s... Наши потери:
[StoryEvents.Event-WildTerritory-4].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory-SetFlag1-1].Name;Технический ивент
[StoryEvents.Event-WildTerritory-SetFlag1-1].Desc-Owner;Если вы это видите, то это баг ивента Event-WildTerritory-SetFlag1-1
[StoryEvents.Event-WildTerritory-SetFlag1-1].Desc-NonOwner;Если вы это видите, то это баг ивента Event-WildTerritory-SetFlag1-1
[StoryEvents.Event-WildTerritory-ChangeResourceScientists-1].Name;Вертолет с Кругловым
[StoryEvents.Event-WildTerritory-ChangeResourceScientists-1].Desc-Owner;Вертолёт успешно доставил Круглова
[StoryEvents.Event-WildTerritory-ChangeResourceScientists-1].Desc-NonOwner;Над локацией Дикая территория был замечен вертолёт, который летел в сторону локации Янтарь. Что это могло бы значить?
[StoryEvents.Event-WildTerritory-ChangeResourceScientists-2].Name;Группа ученых
[StoryEvents.Event-WildTerritory-ChangeResourceScientists-2].Desc-Owner;Вместе с Кругловым прибыла группа ученых, теперь их можно использовать как дополнительную охрану
[StoryEvents.Event-WildTerritory-ChangeResourceScientists-2].Desc-NonOwner;Над локацией Дикая территория был замечен вертолёт, который летел в сторону локации Янтарь. Что это могло бы значить?
[StoryEvents.Event-WildTerritory-SetFlag1-2].Name;Технический ивент
[StoryEvents.Event-WildTerritory-SetFlag1-2].Desc-Owner;Если вы это видите, то это баг ивента Event-WildTerritory-SetFlag1-2
[StoryEvents.Event-WildTerritory-SetFlag1-2].Desc-NonOwner;Если вы это видите, то это баг ивента Event-WildTerritory-SetFlag1-2
[StoryEvents.Event-WildTerritory-SetFlag1-3].Name;Технический ивент
[StoryEvents.Event-WildTerritory-SetFlag1-3].Desc-Owner;Если вы это видите, то это баг ивента Event-WildTerritory-SetFlag1-3
[StoryEvents.Event-WildTerritory-SetFlag1-3].Desc-NonOwner;Если вы это видите, то это баг ивента Event-WildTerritory-SetFlag1-3
[StoryEvents.Event-WildTerritory-ChangeResourceScientists-3].Name;Вертолет с Кругловым
[StoryEvents.Event-WildTerritory-ChangeResourceScientists-3].Desc-Owner;Вертолёт был сбит над Дикой Территорией, но Круглов выжил.
[StoryEvents.Event-WildTerritory-ChangeResourceScientists-3].Desc-NonOwner;Над локацией Дикая территория был сбит вертолёт, который летел в сторону локации Янтарь. Что это могло бы значить?
[StoryEvents.Event-WildTerritory-SetFlag1-4].Name;Технический ивент
[StoryEvents.Event-WildTerritory-SetFlag1-4].Desc-Owner;Если вы это видите, то это баг ивента Event-WildTerritory-SetFlag1-4
[StoryEvents.Event-WildTerritory-SetFlag1-4].Desc-NonOwner;Если вы это видите, то это баг ивента Event-WildTerritory-SetFlag1-4
[StoryEvents.Event-WildTerritory-SetFlag1-5].Name;Технический ивент
[StoryEvents.Event-WildTerritory-SetFlag1-5].Desc-Owner;Если вы это видите, то это баг ивента Event-WildTerritory-SetFlag1-5
[StoryEvents.Event-WildTerritory-SetFlag1-5].Desc-NonOwner;Если вы это видите, то это баг ивента Event-WildTerritory-SetFlag1-5
[StoryEvents.Event-WildTerritory-Advisor-1].Name;Семёнов доступен
[StoryEvents.Event-WildTerritory-Advisor-1].Desc-Owner;Если вы это видите, то это баг ивента Event-WildTerritory-Advisor-1
[StoryEvents.Event-WildTerritory-Advisor-1].Desc-NonOwner;Если вы это видите, то это баг ивента Event-WildTerritory-Advisor-1
[StoryEvents.Event-WildTerritory-Advisor-2].Name;Вертолет с Кругловым
[StoryEvents.Event-WildTerritory-Advisor-2].Desc-Owner;Вертолёт был сбит над Дикой Территорией. Круглов погиб. Научный сотрудник Семёнов принял на себя обязанности Круглова.
[StoryEvents.Event-WildTerritory-Advisor-2].Desc-NonOwner;Над локацией Дикая территория был сбит вертолёт, который летел в сторону локации Янтарь. По слухам весь экипаж погиб. Что это могло бы значить?
[StoryEvents.Event-WildTerritory-SetFlag1-6].Name;Технический ивент
[StoryEvents.Event-WildTerritory-SetFlag1-6].Desc-Owner;Если вы это видите, то это баг ивента Event-WildTerritory-SetFlag1-6
[StoryEvents.Event-WildTerritory-SetFlag1-6].Desc-NonOwner;Если вы это видите, то это баг ивента Event-WildTerritory-SetFlag1-6
[StoryEvents.Event-WildTerritory-5].Name;Меченый продолжает идти
[StoryEvents.Event-WildTerritory-5].Desc-Owner;На нашей территории %0:s на локации %1:s замечен сталкер Меченый. Наш гарнизон пропустил его.
[StoryEvents.Event-WildTerritory-5].Desc-NonOwner;Ходят слухи, что сталкер Меченый был замечен на территории %0:s локации %1:s
[StoryEvents.Event-WildTerritory-6].Name;Меченый напал на гарнизон территории
