[Common_Strings].StoryEventsLevelText;Training events:
[Groups.Stalkers.Exploring].Text-End-Standart-Victory;Victory! Soon, a faction of freelance stalkers began actively collaborating with all the scientists within the Zone. Obtaining mutant body parts, artifacts, measuring anomalous activity... Everyone began making a living this way. A real hunt began for any documents from the underground laboratories. It wasn't enough just to obtain them... They also had to somehow get these papers to the nearest Scientists' bunker. And the fact that there were now an order of magnitude more bunkers didn't help. Bounty hunters are the new scourge of the Zone. If anyone found out that a stalker had even a single piece of paper from the lab, or, at worst, an item even remotely valuable to the scientists... They could easily be written off as dead. They wouldn't reach any bunker. People in the Zone split into two groups - those who extracted things, and those who hunted down those who had managed to obtain anything. There was gunfire everywhere. Gradually, the Zone became more and more dangerous...
[Groups.Stalkers.Growth].Text-End-Standart-Victory;Victory! Soon, free stalkers established a rule that there would no longer be any gangs in the Zone, and those who decided to engage in banditry were handed over to the military abroad. The Zone became open to anyone who wanted to explore. And less dangerous.
[Groups.Stalkers.Growth].Text-End-Standart-Lose;The loners have been completely wiped out, and now the Zone will be divided only between factions. There are no free stalkers left! Defeat!
[Groups.Stalkers.Mercenary].Text-End-Standart-Victory;"Victory! Soon, the faction of freelance stalkers began to resemble ordinary mercenaries more and more. The clear hierarchy was crumbling, the group was fragmenting. ""Orders"" began to rule the current order. Murders became so frequent that the Zone became filled with ""professional killers."" But while people squabbled among themselves for the money they so dearly loved, the Zone became much more dangerous, as the monsters were paid far less attention than they should have been. Rumors were swirling that several new, previously unknown, and extremely dangerous monsters had already been sighted in the Cordon."
[Groups.Stalkers.Sectarianism].Text-End-Standart-Victory;"Victory! Soon, the faction of free stalkers began to resemble a cult more and more. Rumors circulated among the lower ranks that the ""top brass"" were under the influence of ""certain forces from the north."" Religious phrases increasingly appeared in the commanders' speeches. Active military operations were underway against government forces to expand their influence beyond the perimeter. Brainwashing of the faction members intensified with each passing day, but some remained resilient and protected their minds. Most of them remained in the south, as they were immune to the psionic installations that had been reactivated. A new phase of the ""War in the Zone"" was brewing..."
[Groups.Stalkers.Stability].Text-End-Standart-Victory;Victory! Soon, the faction of free stalkers, lacking external enemies, began to look for them within themselves. Intrigues, scandals, executions... This is what the faction had become. The stalkers' tasks devolved to guarding and clearing the main routes in the Zone, while outlying areas received virtually no attention. This led to an increase in the number of mutants and those who fled there to escape all this internal squabbling. The faction cooperated with the Scientists and the Military, but reluctantly, which led government forces to consider establishing a new base within the perimeter, which could lead to new clashes within the Zone's perimeter...
[Groups.Stalkers.Stalkers].Text-End-Standart-Victory;Victory! Soon, free stalkers established a rule that there would no longer be any gangs in the Zone, and those who decided to engage in banditry were handed over to the military abroad. The Zone became open to anyone who wanted to explore. And less dangerous.
[Groups.Stalkers.Stalkers].Text-End-Standart-Lose;The loners have been completely wiped out, and now the Zone will be divided only between factions. There are no free stalkers left! Defeat!
[Groups.Stalkers.Unknow].Text-End-Standart-Victory;Victory! Soon, free stalkers established a rule that there would no longer be any gangs in the Zone, and those who decided to engage in banditry were handed over to the military abroad. The Zone became open to anyone who wanted to explore. And less dangerous.
[Groups.Stalkers.Unknow].Text-End-Standart-Lose;The loners have been completely wiped out, and now the Zone will be divided only between factions. There are no free stalkers left! Defeat!
[Groups.Stalkers.Zombie].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.zombie.:main].Spy1-Name;Newbie
[Groups.zombie.:main].Spy2-Name;Experienced
[Groups.zombie.:main].Spy3-Name;Veteran
[Groups.zombie.:main].Spy4-Name;Master
[Groups.zombie.:main].Name;Zombified
[Groups.zombie.:main].Description;The faction is only available in debug mode.
[Groups.zombie.:main].DiplomacyText-Question-War;M-m-m-m-u-u-u-r-r-d-d-d-ah!!!!!!!
[Groups.zombie.:main].DiplomacyText-Question-Neutral;P-p-p-p-e-e-a-a-c-c-c-e!!!!!!!
[Groups.zombie.:main].DiplomacyText-Question-Alliance;A-a-a-a-l-l-l-l-i-i-a-a-n-n-n-n-c-e!!!!!!!
[Groups.zombie.:main].DiplomacyText-Question-BreakAlliance;M-m-m-m-u-u-u-r-r-d-d-d-ah!!!!!!!
[Groups.zombie.:main].DiplomacyText-RequestMoney-Ask;N-n-e-e-d mo-o-o-o-ney! G-i-i-i-i-ve:
[Groups.zombie.:main].DiplomacyText-Ans-0-Down;M-m-m-m-u-u-u-r-r-d-d-d-ah!!!!!!!
[Groups.zombie.:main].DiplomacyText-Ans-1-Down;Œ-¬-¬-¬!!!
[Groups.zombie.:main].DiplomacyText-Ans-1-No;M-m-m-m-u-u-u-r-r-d-d-d-ah!!!!!!!
[Groups.zombie.:main].DiplomacyText-Ans-1-Yes;M-m-m-m-u-u-u-r-r-d-d-d-ah!!!!!!!
[Groups.zombie.:main].DiplomacyText-Ans-2-No;Œ-¬-¬-¬!!!
[Groups.zombie.:main].DiplomacyText-Ans-2-Yes;H-e-e-e-e-e-y-y-y-y-y!
[Groups.zombie.:main].DiplomacyText-RequestMoney-Ans-No;N-n-o-o-o?
[Groups.zombie.:main].DiplomacyText-RequestMoney-Ans-Yes;N-n-e-e-d mo-o-o-o-ney! G-i-i-i-i-ve:
[Groups.zombie.:main].DiplomacyText-Question-Neutral-No;M-m-m-m-u-u-u-r-r-d-d-d-ah!!!!!!!
[Groups.zombie.:main].DiplomacyText-Question-Neutral-Yes;G-g-g-g-g-r-r-r-r-r-e-e-e-e-e-a-a-a-a-a-t-t-t-e!!!!!!!
[Groups.zombie.:main].DiplomacyText-Question-Alliance-No;M-m-m-m-u-u-u-r-r-d-d-d-ah!!!!!!!
[Groups.zombie.:main].DiplomacyText-Question-Alliance-Yes;M-m-m-m-u-u-u-r-r-d-d-d-ah!!!!!!!
[Groups.zombie.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.zombie.:main].Text-End-EventFlag-Victory;Victory! You have achieved your goal!
[Groups.zombie.:main].Text-End-Standart-Lose;You have been eradicated. Defeat!
[Groups.zombie.:main].Text-End-Step-Lose;Time's up, you managed to rot before you could capture the Zone. Defeat!
[Groups.zombie.:main].Text-End-EventFlag-Lose;You didn't manage to reach your goal. Defeat!
[Groups.zombie.Anarchy].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.zombie.AntiZone].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.zombie.Control].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.zombie.Crime].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.zombie.Exploring].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.zombie.Growth].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.zombie.Mercenary].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.zombie.Sectarianism].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.zombie.Stability].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.zombie.Stalkers].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.zombie.Unknow].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
[Groups.zombie.Zombie].Text-End-Standart-Victory;Victory! Now O-Consciousness is safe. Soon, psi-radiation covered the entire Zone thanks to the increased number of emitters. Even the Cordon became dangerous. The government, although didn't release mutants from the Zone, no longer tried to retake it...
