[Leaders.Leader-Krot].Name;Mole
[Groups.StalkersLis.:main].Text-End-EventFlag-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.StalkersBes.:main].DiplomacyText-Question-War;We declare war on you!
[Groups.StalkersBes.:main].DiplomacyText-Question-Neutral;Time to end this bloodshed. We're ready for peace. Are you?
[Groups.StalkersBes.:main].DiplomacyText-Question-Alliance;We wish to form an alliance with you. Do you agree?
[Groups.StalkersBes.:main].DiplomacyText-Question-BreakAlliance;We are terminating the alliance!
[Groups.StalkersBes.:main].DiplomacyText-RequestMoney-Ask;We've hit some financial difficulties. Could use some help. We're looking for a sum like this:
[Groups.StalkersBes.:main].DiplomacyText-Ans-0-Down;You backstabbing rat! War it is, then!
[Groups.StalkersBes.:main].DiplomacyText-Ans-1-Down;So be it.
[Groups.StalkersBes.:main].DiplomacyText-Ans-1-No;We see no necessity for that at the moment.
[Groups.StalkersBes.:main].DiplomacyText-Ans-1-Yes;Yes, we agree to a ceasefire.
[Groups.StalkersBes.:main].DiplomacyText-Ans-2-No;We are not sure this is needed right now.
[Groups.StalkersBes.:main].DiplomacyText-Ans-2-Yes;Yes, we agree to cooperate.
[Groups.StalkersBes.:main].DiplomacyText-RequestMoney-Ans-No;Regrettably, we are not in a position to provide that amount at this time.
[Groups.StalkersBes.:main].DiplomacyText-RequestMoney-Ans-Yes;Alright, we will transfer that sum to you.
[Groups.StalkersBes.:main].DiplomacyText-Question-Neutral-No;It's a shame you refused!
[Groups.StalkersBes.:main].DiplomacyText-Question-Neutral-Yes;Good! We're glad you agreed!
[Groups.StalkersBes.:main].DiplomacyText-Question-Alliance-No;It's a shame you refused!
[Groups.StalkersBes.:main].DiplomacyText-Question-Alliance-Yes;Good! We're glad you agreed!
[Groups.StalkersBes.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.StalkersBes.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.StalkersBes.:main].Text-End-Standart-Lose;The faction has been completely wiped out. Now other factions will divide the Zone among themselves. Defeat!
[Groups.StalkersBes.:main].Text-End-Step-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.StalkersBes.:main].Text-End-EventFlag-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.StalkersSeriy.:main].DiplomacyText-Question-War;We declare war on you!
[Groups.StalkersSeriy.:main].DiplomacyText-Question-Neutral;Time to end this bloodshed. We're ready for peace. Are you?
[Groups.StalkersSeriy.:main].DiplomacyText-Question-Alliance;We wish to form an alliance with you. Do you agree?
[Groups.StalkersSeriy.:main].DiplomacyText-Question-BreakAlliance;We are terminating the alliance!
[Groups.StalkersSeriy.:main].DiplomacyText-RequestMoney-Ask;We've hit some financial difficulties. Could use some help. We're looking for a sum like this:
[Groups.StalkersSeriy.:main].DiplomacyText-Ans-0-Down;You backstabbing rat! War it is, then!
[Groups.StalkersSeriy.:main].DiplomacyText-Ans-1-Down;So be it.
[Groups.StalkersSeriy.:main].DiplomacyText-Ans-1-No;We see no necessity for that at the moment.
[Groups.StalkersSeriy.:main].DiplomacyText-Ans-1-Yes;Yes, we agree to a ceasefire.
[Groups.StalkersSeriy.:main].DiplomacyText-Ans-2-No;We are not sure this is needed right now.
[Groups.StalkersSeriy.:main].DiplomacyText-Ans-2-Yes;Yes, we agree to cooperate.
[Groups.StalkersSeriy.:main].DiplomacyText-RequestMoney-Ans-No;Regrettably, we are not in a position to provide that amount at this time.
[Groups.StalkersSeriy.:main].DiplomacyText-RequestMoney-Ans-Yes;Alright, we will transfer that sum to you.
[Groups.StalkersSeriy.:main].DiplomacyText-Question-Neutral-No;It's a shame you refused!
[Groups.StalkersSeriy.:main].DiplomacyText-Question-Neutral-Yes;Good! We're glad you agreed!
[Groups.StalkersSeriy.:main].DiplomacyText-Question-Alliance-No;It's a shame you refused!
[Groups.StalkersSeriy.:main].DiplomacyText-Question-Alliance-Yes;Good! We're glad you agreed!
[Groups.StalkersSeriy.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.StalkersSeriy.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.StalkersSeriy.:main].Text-End-Standart-Lose;The faction has been completely wiped out. Now other factions will divide the Zone among themselves. Defeat!
[Groups.StalkersSeriy.:main].Text-End-Step-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.StalkersSeriy.:main].Text-End-EventFlag-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.StalkersDiggers.:main].DiplomacyText-Question-War;We declare war on you!
[Groups.StalkersDiggers.:main].DiplomacyText-Question-Neutral;Time to end this bloodshed. We're ready for peace. Are you?
[Groups.StalkersDiggers.:main].DiplomacyText-Question-Alliance;We wish to form an alliance with you. Do you agree?
[Groups.StalkersDiggers.:main].DiplomacyText-Question-BreakAlliance;We are terminating the alliance!
[Groups.StalkersDiggers.:main].DiplomacyText-RequestMoney-Ask;We've hit some financial difficulties. Could use some help. We're looking for a sum like this:
[Groups.StalkersDiggers.:main].DiplomacyText-Ans-0-Down;You backstabbing rat! War it is, then!
[Groups.StalkersDiggers.:main].DiplomacyText-Ans-1-Down;So be it.
[Groups.StalkersDiggers.:main].DiplomacyText-Ans-1-No;We see no necessity for that at the moment.
[Groups.StalkersDiggers.:main].DiplomacyText-Ans-1-Yes;Yes, we agree to a ceasefire.
[Groups.StalkersDiggers.:main].DiplomacyText-Ans-2-No;We are not sure this is needed right now.
[Groups.StalkersDiggers.:main].DiplomacyText-Ans-2-Yes;Yes, we agree to cooperate.
[Groups.StalkersDiggers.:main].DiplomacyText-RequestMoney-Ans-No;Regrettably, we are not in a position to provide that amount at this time.
[Groups.StalkersDiggers.:main].DiplomacyText-RequestMoney-Ans-Yes;Alright, we will transfer that sum to you.
[Groups.StalkersDiggers.:main].DiplomacyText-Question-Neutral-No;It's a shame you refused!
[Groups.StalkersDiggers.:main].DiplomacyText-Question-Neutral-Yes;Good! We're glad you agreed!
[Groups.StalkersDiggers.:main].DiplomacyText-Question-Alliance-No;It's a shame you refused!
[Groups.StalkersDiggers.:main].DiplomacyText-Question-Alliance-Yes;Good! We're glad you agreed!
[Groups.StalkersDiggers.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.StalkersDiggers.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.StalkersDiggers.:main].Text-End-Standart-Lose;The faction has been completely wiped out. Now other factions will divide the Zone among themselves. Defeat!
[Groups.StalkersDiggers.:main].Text-End-Step-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.StalkersDiggers.:main].Text-End-EventFlag-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.StalkersDV.:main].DiplomacyText-Question-War;We declare war on you!
[Groups.StalkersDV.:main].DiplomacyText-Question-Neutral;Time to end this bloodshed. We're ready for peace. Are you?
[Groups.StalkersDV.:main].DiplomacyText-Question-Alliance;We wish to form an alliance with you. Do you agree?
[Groups.StalkersDV.:main].DiplomacyText-Question-BreakAlliance;We are terminating the alliance!
[Groups.StalkersDV.:main].DiplomacyText-RequestMoney-Ask;We've hit some financial difficulties. Could use some help. We're looking for a sum like this:
[Groups.StalkersDV.:main].DiplomacyText-Ans-0-Down;You backstabbing rat! War it is, then!
[Groups.StalkersDV.:main].DiplomacyText-Ans-1-Down;So be it.
[Groups.StalkersDV.:main].DiplomacyText-Ans-1-No;We see no necessity for that at the moment.
[Groups.StalkersDV.:main].DiplomacyText-Ans-1-Yes;Yes, we agree to a ceasefire.
[Groups.StalkersDV.:main].DiplomacyText-Ans-2-No;We are not sure this is needed right now.
[Groups.StalkersDV.:main].DiplomacyText-Ans-2-Yes;Yes, we agree to cooperate.
[Groups.StalkersDV.:main].DiplomacyText-RequestMoney-Ans-No;Regrettably, we are not in a position to provide that amount at this time.
[Groups.StalkersDV.:main].DiplomacyText-RequestMoney-Ans-Yes;Alright, we will transfer that sum to you.
[Groups.StalkersDV.:main].DiplomacyText-Question-Neutral-No;It's a shame you refused!
[Groups.StalkersDV.:main].DiplomacyText-Question-Neutral-Yes;Good! We're glad you agreed!
[Groups.StalkersDV.:main].DiplomacyText-Question-Alliance-No;It's a shame you refused!
[Groups.StalkersDV.:main].DiplomacyText-Question-Alliance-Yes;Good! We're glad you agreed!
[Groups.StalkersDV.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.StalkersDV.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.StalkersDV.:main].Text-End-Standart-Lose;The faction has been completely wiped out. Now other factions will divide the Zone among themselves. Defeat!
[Groups.StalkersDV.:main].Text-End-Step-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.StalkersDV.:main].Text-End-EventFlag-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.StalkersBar.:main].DiplomacyText-Question-War;We declare war on you!
[Groups.StalkersBar.:main].DiplomacyText-Question-Neutral;Time to end this bloodshed. We're ready for peace. Are you?
[Groups.StalkersBar.:main].DiplomacyText-Question-Alliance;We wish to form an alliance with you. Do you agree?
[Groups.StalkersBar.:main].DiplomacyText-Question-BreakAlliance;We are terminating the alliance!
[Groups.StalkersBar.:main].DiplomacyText-RequestMoney-Ask;We've hit some financial difficulties. Could use some help. We're looking for a sum like this:
[Groups.StalkersBar.:main].DiplomacyText-Ans-0-Down;You backstabbing rat! War it is, then!
[Groups.StalkersBar.:main].DiplomacyText-Ans-1-Down;So be it.
[Groups.StalkersBar.:main].DiplomacyText-Ans-1-No;We see no necessity for that at the moment.
[Groups.StalkersBar.:main].DiplomacyText-Ans-1-Yes;Yes, we agree to a ceasefire.
[Groups.StalkersBar.:main].DiplomacyText-Ans-2-No;We are not sure this is needed right now.
[Groups.StalkersBar.:main].DiplomacyText-Ans-2-Yes;Yes, we agree to cooperate.
[Groups.StalkersBar.:main].DiplomacyText-RequestMoney-Ans-No;Regrettably, we are not in a position to provide that amount at this time.
[Groups.StalkersBar.:main].DiplomacyText-RequestMoney-Ans-Yes;Alright, we will transfer that sum to you.
[Groups.StalkersBar.:main].DiplomacyText-Question-Neutral-No;It's a shame you refused!
[Groups.StalkersBar.:main].DiplomacyText-Question-Neutral-Yes;Good! We're glad you agreed!
[Groups.StalkersBar.:main].DiplomacyText-Question-Alliance-No;It's a shame you refused!
[Groups.StalkersBar.:main].DiplomacyText-Question-Alliance-Yes;Good! We're glad you agreed!
[Groups.StalkersBar.:main].Text-End-Step-Victory;You survived! Victory!
[Groups.StalkersBar.:main].Text-End-EventFlag-Victory;Victory by event flag!
[Groups.StalkersBar.:main].Text-End-Standart-Lose;The faction has been completely wiped out. Now other factions will divide the Zone among themselves. Defeat!
[Groups.StalkersBar.:main].Text-End-Step-Lose;Time's up. You failed to gain control over the Zone. Defeat!
[Groups.StalkersBar.:main].Text-End-EventFlag-Lose;Time's up. You failed to gain control over the Zone. Defeat!
